,Tweet Number,News Organization,Tweet,Compound Score,Positive Score,Negative Score,Neutral Score
65,65,@BBC,❤️☺️ These new born flamingo chicks are learning to stand on one leg. https://t.co/Jq4QcXRgku,0.0,0.0,0.0,1.0
66,66,@BBC,"Nine secrets to improve your relationships.
👉 https://t.co/TnfCCD8fLm https://t.co/7qDbCNvTWQ",0.4404,0.293,0.0,0.707
67,67,@BBC,"🌎 Want to cut down on the plastic your family uses?  

Blogger @MamalinaUK has some tips. https://t.co/unGbxeznDB",-0.2023,0.075,0.121,0.805
68,68,@BBC,"Vaping can damage vital immune system cells and may be more harmful than previously thought, a study suggests.
👉… https://t.co/5FDfC2Uviu",0.0516,0.186,0.136,0.678
69,69,@BBC,🙌 This is brilliant. https://t.co/HwCIxhosAL,0.5859,0.559,0.0,0.441
70,70,@BBC,US Police have made an arrest in a fatal hit-and-run case after an obscure part of a car headlight was identified b… https://t.co/YA3fAk1bCx,-0.7096,0.0,0.237,0.763
71,71,@BBC,A whale has been rescued from a fishing net thanks to the Chilean Navy. https://t.co/aotpGZTCvh,0.6908,0.341,0.0,0.659
72,72,@BBC,"🎶🐦 Start you morning right, with 5 minutes of beautiful birdsong, recorded in the English countryside.

🔊 Sound on 🔊https://t.co/6Lx2f21OXD",0.5994,0.187,0.0,0.813
73,73,@BBC,"Watch this, then give your nan a call. 
(via @BBCThree) https://t.co/x1jfsvU21t",0.0,0.0,0.0,1.0
74,74,@BBC,"🤤 Marshmallows, white chocolate, dried apples and fruity raisins... what more could you want?  https://t.co/MOZcl6oTiy",0.144,0.107,0.0,0.893
75,75,@BBC,"Celebrity favourites including @VickyPattison, @SpencerMatthews and @LouisePentland test their knowledge as they tr… https://t.co/EJieYPDMnh",0.0,0.0,0.0,1.0
76,76,@BBC,"❤️🙌 'The Little Old Ones' 

Welcome to Belgium's retirement home for elderly animals.
👉 https://t.co/tm0X6XmAAN https://t.co/BYMgMHBDm7",0.4091,0.163,0.0,0.837
77,77,@BBC,"99-year-old Mary shot to fame after playing donkey in her care home's nativity play. 

🙌 Now she's back on stage, s… https://t.co/QORwyvUe4V",0.8519,0.377,0.0,0.623
78,78,@BBC,The farmers using sewage to make saris. https://t.co/dTgg2OeVDT,0.0,0.0,0.0,1.0
79,79,@BBC,"The effects of a powerful psychedelic drug are similar to a near-death experience, research suggests.
👉… https://t.co/FmsoVJG6Ng",0.4215,0.167,0.0,0.833
80,80,@BBC,"What connects Adam and Eve to Tinder? 
👉 https://t.co/KF2KawzUMk https://t.co/cnybTtA6Jb",0.0,0.0,0.0,1.0
81,81,@BBC,"Kofi Annan, the former UN secretary-general who won the Nobel Peace Prize for humanitarian work, has died aged 80.… https://t.co/efsGW8ActM",0.7845,0.349,0.12,0.532
82,82,@BBC,"RT @BBCBreaking: Kofi Annan, the former UN secretary-general who won the Nobel Peace Prize for humanitarian work, dies aged 80 https://t.co…",0.8885,0.368,0.0,0.632
83,83,@BBC,"Endangered monkeys and apes could face new risks if Africa becomes a big player in the palm oil industry.
👉… https://t.co/qtGXficFps",-0.2732,0.0,0.1,0.9
84,84,@BBC,👀📖 Can you read like a superhuman? https://t.co/jJjiXoH6UM,0.3612,0.294,0.0,0.706
85,85,@BBC,Is this the way to end rough sleeping? https://t.co/a0FDrfV4l3,0.0,0.0,0.0,1.0
86,86,@BBC,🤗🐘 It's baby feeding time at the elephant sanctuary! https://t.co/6q7PhK3vwh,0.0,0.0,0.0,1.0
87,87,@BBC,"😂 @MrNishKumar introduces hilarious stand-up comedians @tezilyas, @emilylloydsaini, @AnuvabPal, @ismaalmas and… https://t.co/xLMLWMIYzT",0.5994,0.353,0.0,0.647
88,88,@BBC,"Explore the spectacular and emotional world of rituals... 

Extraordinary Rituals | 9pm | @BBCTwo |… https://t.co/rWKS82KJ84",0.1531,0.11,0.0,0.89
89,89,@BBC,"You either refuse to add your mum on social media, or force her to accept what a deviant you are. 😜 https://t.co/8lLjGSKUny",0.1027,0.114,0.096,0.789
90,90,@BBC,Actual footage of my weekend plans... 💤 #FridayFeeling https://t.co/fwYRjlq0es,0.0,0.0,0.0,1.0
91,91,@BBC,"All the times parents went viral for embarrassing their kids...
Can you die of cringe?
👉 https://t.co/p9bK7mNjSs https://t.co/8FwwiNS1MU",-0.7579,0.0,0.302,0.698
92,92,@BBC,😂 STOP MICROWAVING FISH AT WORK! https://t.co/vaMuGa9RDy,-0.4981,0.0,0.392,0.608
